iter	Logloss
0	0.6674261015
1	0.6429299443
2	0.631278695
3	0.618361385
4	0.6107997962
5	0.6050253699
6	0.5971643809
7	0.5900171752
8	0.5864304678
9	0.5827898127
10	0.5796034248
11	0.5769228288
12	0.5748071037
13	0.5720608837
14	0.5692655215
15	0.5676558516
16	0.5659465141
17	0.562850347
18	0.5616535684
19	0.5600249497
20	0.5580692598
21	0.5566074871
22	0.5556783513
23	0.5541509579
24	0.55365228
25	0.5530583982
26	0.5525637113
27	0.5509309408
28	0.5504766926
29	0.5500479893
30	0.5493193429
31	0.5489653827
32	0.5483654982
33	0.5480491843
34	0.5470960485
35	0.5468730927
36	0.5448030077
37	0.5446191241
38	0.5441811574
39	0.5431352787
40	0.5424461618
41	0.540850901
42	0.5390051181
43	0.5379401644
44	0.5374533656
45	0.536746095
46	0.5363047523
47	0.5356634273
48	0.5352262848
49	0.5348064565
50	0.5336956135
51	0.5332900217
52	0.5321947878
53	0.5315229724
54	0.5310997105
55	0.5299632403
56	0.5290549591
57	0.5282279467
58	0.5274389413
59	0.5266406637
60	0.524608823
61	0.5235221568
62	0.521710404
63	0.5206687998
64	0.5192377821
65	0.5182038453
66	0.5176324242
67	0.5163814054
68	0.5155786424
69	0.5141636256
70	0.5135291182
71	0.5121281259
72	0.5116485289
73	0.5108503139
74	0.5100512437
75	0.5094211939
76	0.5081673337
77	0.5073047858
78	0.5064897448
79	0.5059039761
80	0.5052565017
81	0.5045614946
82	0.50387244
83	0.5030943764
84	0.50149898
85	0.5002823171
86	0.4995620548
87	0.4989432163
88	0.4982945049
89	0.4976623371
90	0.4971021248
91	0.4965496929
92	0.4956760652
93	0.4949122654
94	0.4941013443
95	0.4935090064
96	0.4926916205
97	0.491420446
98	0.489640962
99	0.4890436654
100	0.4884579686
101	0.4878139495
102	0.487076186
103	0.4864750653
104	0.4852658733
105	0.4846301878
106	0.4837442321
107	0.4832044035
108	0.4825738218
109	0.4819379272
110	0.4809006189
111	0.4803267286
112	0.4796661545
113	0.4791894151
114	0.4786082508
115	0.4778579795
116	0.4772538584
117	0.4763315956
118	0.4759782542
119	0.4754629969
120	0.4749896532
121	0.4740393255
122	0.4736826934
123	0.4728073411
124	0.4722437073
125	0.4716220006
126	0.4708660342
127	0.4700821196
128	0.4695587387
129	0.4691893363
130	0.4686703142
131	0.4683000844
132	0.4676676231
133	0.4671773258
134	0.4667385092
135	0.4661872177
136	0.4655518115
137	0.4647948023
138	0.4643339022
139	0.4637641633
140	0.4634168302
141	0.4627263795
142	0.462026776
143	0.4617104348
144	0.4611542854
145	0.4606224285
146	0.4600454777
147	0.4595469863
148	0.4590483666
149	0.4585662821
150	0.4579350534
151	0.4574080195
152	0.4569658839
153	0.4564959629
154	0.4559868067
155	0.4556979683
156	0.4554263311
157	0.4548404965
158	0.4543214764
159	0.4538193442
160	0.4533068991
161	0.4530674759
162	0.4526910943
163	0.4524685148
164	0.452005397
165	0.4514457484
166	0.4509217652
167	0.4504802262
168	0.4499336317
169	0.4493753264
170	0.4490713459
171	0.4485891014
172	0.4480688093
173	0.4476440951
174	0.4474481314
175	0.44687846
176	0.4465073519
177	0.4460376691
178	0.4456441127
179	0.4452455745
180	0.4448140871
181	0.4444784722
182	0.4440532703
183	0.4435711214
184	0.4433717282
185	0.4429028258
186	0.4424633384
187	0.442063925
188	0.4416148096
189	0.4410355263
190	0.4407658614
191	0.4403276721
192	0.439817163
193	0.4394170687
194	0.4389766936
195	0.4384403544
196	0.4379515081
197	0.4375575075
198	0.4371604554
199	0.4368743874
200	0.4364717234
201	0.436049794
202	0.4356729749
203	0.4353185573
204	0.4348912485
205	0.4343906527
206	0.4339615574
207	0.4333383127
208	0.4328571636
209	0.4323498576
210	0.4318629809
211	0.4317065907
212	0.4310623549
213	0.4306409971
214	0.4299540252
215	0.4295458891
216	0.4291899697
217	0.4287681549
218	0.4283740151
219	0.4279684759
220	0.4279215584
221	0.4275127937
222	0.4270251213
223	0.4267806519
224	0.4263672594
225	0.4260669125
226	0.4256394978
227	0.4251093676
228	0.4245243719
229	0.4242679185
230	0.4237942554
231	0.4232718545
232	0.4229234965
233	0.4224620125
234	0.4220594894
235	0.421647904
236	0.4212295782
237	0.4211653767
238	0.4209123087
239	0.4206488588
240	0.4202542727
241	0.4195426044
242	0.4191212133
243	0.4186035618
244	0.4180813726
245	0.4176665716
246	0.417258369
247	0.4167841265
248	0.4164356401
249	0.4162396505
250	0.4157890352
251	0.4152972229
252	0.414962864
253	0.4145430059
254	0.4140865996
255	0.4135854459
256	0.413024242
