iter	Passed	Remaining
0	6	5727
1	13	5756
2	20	5729
3	28	6055
4	35	5922
5	42	5936
6	49	5877
7	56	5891
8	63	5843
9	69	5799
10	77	5842
11	85	5899
12	93	5985
13	102	6034
14	112	6185
15	122	6313
16	130	6340
17	139	6374
18	147	6372
19	155	6369
20	163	6394
21	172	6433
22	181	6457
23	189	6466
24	197	6450
25	205	6447
26	214	6475
27	223	6500
28	232	6497
29	241	6518
30	249	6517
31	258	6528
32	267	6556
33	275	6542
34	285	6575
35	295	6603
36	306	6669
37	315	6661
38	328	6753
39	345	6908
40	360	7042
41	371	7061
42	380	7068
43	391	7085
44	405	7179
45	418	7232
46	427	7228
47	437	7227
48	446	7223
49	457	7238
50	468	7251
51	475	7210
52	481	7157
53	488	7119
54	495	7087
55	503	7062
56	511	7029
57	518	7000
58	526	6971
59	533	6944
60	540	6908
61	546	6868
62	553	6830
63	560	6800
64	567	6776
65	574	6743
66	580	6710
67	587	6677
68	593	6643
69	600	6611
70	606	6581
71	614	6563
72	621	6536
73	627	6504
74	634	6475
75	640	6447
76	646	6418
77	653	6389
78	661	6382
79	667	6350
80	674	6323
81	680	6295
82	686	6271
83	693	6248
84	700	6226
85	706	6204
86	713	6182
87	719	6157
88	726	6134
89	731	6107
90	737	6082
91	743	6056
92	750	6035
93	756	6014
94	763	5993
95	769	5975
96	776	5958
97	783	5937
98	789	5920
99	795	5897
100	802	5880
101	809	5862
102	815	5844
103	822	5829
104	828	5809
105	835	5793
106	842	5776
107	848	5759
108	854	5740
109	860	5720
110	867	5703
111	872	5681
112	879	5668
113	886	5652
114	892	5635
115	899	5623
116	906	5609
117	912	5592
118	918	5575
119	925	5560
120	931	5544
121	937	5527
122	944	5512
123	950	5497
124	956	5479
125	963	5464
126	969	5451
127	975	5436
128	982	5423
129	989	5409
130	995	5395
131	1001	5380
132	1008	5368
133	1014	5354
134	1020	5338
135	1028	5331
136	1034	5317
137	1041	5307
138	1048	5294
139	1054	5280
140	1061	5269
141	1068	5258
142	1074	5246
143	1081	5234
144	1087	5219
145	1093	5207
146	1101	5198
147	1107	5184
148	1113	5172
149	1120	5161
150	1127	5152
151	1133	5139
152	1140	5128
153	1147	5119
154	1154	5107
155	1161	5099
156	1167	5087
157	1174	5077
158	1182	5073
159	1190	5067
160	1198	5060
161	1206	5055
162	1214	5050
163	1222	5046
164	1230	5043
165	1238	5037
166	1247	5032
167	1255	5027
168	1263	5024
169	1272	5022
170	1279	5014
171	1288	5011
172	1296	5007
173	1305	5002
174	1313	5000
175	1322	4997
176	1332	4997
177	1340	4993
178	1348	4987
179	1356	4983
180	1365	4980
181	1374	4976
182	1382	4971
183	1389	4963
184	1397	4957
185	1406	4951
186	1414	4946
187	1422	4940
188	1430	4935
189	1437	4926
190	1444	4916
191	1451	4906
192	1457	4893
193	1464	4883
194	1470	4871
195	1476	4860
196	1483	4850
197	1490	4840
198	1497	4830
199	1504	4820
200	1510	4810
201	1517	4800
202	1524	4790
203	1531	4780
204	1538	4772
205	1544	4760
206	1550	4750
207	1557	4738
208	1564	4730
209	1571	4723
210	1579	4715
211	1587	4709
212	1593	4699
213	1599	4687
214	1606	4678
215	1613	4668
216	1620	4659
217	1626	4648
218	1633	4639
219	1640	4630
220	1647	4621
221	1654	4612
222	1662	4606
223	1668	4595
224	1674	4585
225	1680	4574
226	1687	4564
227	1693	4554
228	1700	4543
229	1707	4536
230	1714	4528
231	1721	4518
232	1727	4508
233	1733	4497
234	1740	4487
235	1747	4480
236	1753	4469
237	1759	4458
238	1765	4446
239	1771	4435
240	1777	4425
241	1783	4413
242	1789	4402
243	1797	4397
244	1803	4386
245	1809	4375
246	1815	4366
247	1821	4355
248	1827	4345
249	1833	4334
250	1839	4324
251	1846	4315
252	1852	4306
253	1859	4297
254	1865	4286
255	1871	4276
256	1878	4268
257	1884	4258
258	1890	4248
259	1896	4238
260	1902	4228
261	1909	4219
262	1915	4210
263	1922	4201
264	1928	4191
265	1935	4184
266	1943	4177
267	1952	4173
268	1960	4168
269	1969	4165
270	1977	4158
271	1985	4153
272	1993	4147
273	2002	4143
274	2010	4137
275	2018	4132
276	2026	4126
